Date,Close,Volume,Open,High,Low
03-05-24,$181.19 ,75491540,$182.10 ,$184.78 ,$178.42 
06-05-24,$184.76 ,84390250,$183.80 ,$187.56 ,$182.20 
07-05-24,$177.81 ,75045850,$182.40 ,$183.26 ,$177.40 
08-05-24,$174.72 ,79969490,$171.59 ,$176.06 ,$170.15 
09-05-24,$171.97 ,65950290,$175.01 ,$175.62 ,$171.37 
10-05-24,$168.47 ,72627180,$173.05 ,$173.06 ,$167.75 
13-05-24,$171.89 ,67018900,$170.00 ,$175.40 ,$169.00 
14-05-24,$177.55 ,86407420,$174.50 ,$179.49 ,$174.07 
15-05-24,$173.99 ,79662990,$179.90 ,$180.00 ,$173.11 
16-05-24,$174.84 ,59812220,$174.10 ,$175.79 ,$171.43 
17-05-24,$177.46 ,77445850,$173.55 ,$179.63 ,$172.75 
20-05-24,$174.95 ,61727430,$177.56 ,$177.75 ,$173.52 
21-05-24,$186.60 ,115266500,$175.51 ,$186.88 ,$174.71 
22-05-24,$180.11 ,88313480,$182.85 ,$183.80 ,$178.12 
23-05-24,$173.74 ,71975500,$181.80 ,$181.90 ,$173.26 
24-05-24,$179.24 ,65584480,$174.84 ,$180.08 ,$173.73 
28-05-24,$176.75 ,59736620,$176.40 ,$178.25 ,$173.16 
29-05-24,$176.19 ,54782650,$174.19 ,$178.15 ,$173.93 
30-05-24,$178.79 ,77784760,$178.58 ,$182.67 ,$175.38 
31-05-24,$178.08 ,67314600,$178.50 ,$180.32 ,$173.82 
03-06-24,$176.29 ,68568920,$178.13 ,$182.64 ,$174.49 
04-06-24,$174.77 ,60056340,$174.78 ,$177.76 ,$174.00 
05-06-24,$175.00 ,57953760,$175.35 ,$176.15 ,$172.13 
06-06-24,$177.94 ,69887020,$174.60 ,$179.73 ,$172.73 
07-06-24,$177.48 ,56244930,$176.13 ,$179.35 ,$175.58 
10-06-24,$173.79 ,50869680,$176.06 ,$178.57 ,$173.17 
11-06-24,$170.66 ,64761930,$173.92 ,$174.75 ,$167.41 
12-06-24,$177.29 ,90389450,$171.12 ,$180.55 ,$169.80 
13-06-24,$182.47 ,118984100,$188.39 ,$191.08 ,$181.23 
14-06-24,$178.01 ,82038190,$185.80 ,$186.00 ,$176.92 
17-06-24,$187.44 ,109786100,$177.92 ,$188.81 ,$177.00 
18-06-24,$184.86 ,68982270,$186.56 ,$187.20 ,$182.37 
20-06-24,$181.57 ,55893140,$184.68 ,$185.21 ,$179.66 
21-06-24,$183.01 ,63029480,$182.30 ,$183.95 ,$180.69 
24-06-24,$182.58 ,61992070,$184.97 ,$188.80 ,$182.55 
25-06-24,$187.35 ,63678270,$184.40 ,$187.97 ,$182.01 
26-06-24,$196.37 ,95737070,$186.54 ,$197.76 ,$186.36 
27-06-24,$197.42 ,72746520,$195.17 ,$198.72 ,$194.05 
28-06-24,$197.88 ,95438070,$199.55 ,$203.20 ,$195.26 
01-07-24,$209.86 ,135691400,$201.02 ,$213.23 ,$200.85 
02-07-24,$231.26 ,205047900,$218.89 ,$231.30 ,$218.06 
03-07-24,$246.39 ,166561500,$234.56 ,$248.35 ,$234.25 
05-07-24,$251.52 ,154501200,$249.81 ,$252.37 ,$242.46 
08-07-24,$252.94 ,157219600,$247.71 ,$259.44 ,$244.57 
09-07-24,$262.33 ,160742500,$251.00 ,$265.61 ,$250.30 
10-07-24,$263.26 ,128519400,$262.80 ,$267.59 ,$257.86 
11-07-24,$241.03 ,221707300,$263.30 ,$271.00 ,$239.65 
12-07-24,$248.23 ,155955800,$235.80 ,$251.84 ,$233.09 
15-07-24,$252.64 ,146912900,$255.97 ,$265.60 ,$251.73 
16-07-24,$256.56 ,126332500,$255.31 ,$258.62 ,$245.80 
17-07-24,$248.50 ,115584800,$252.73 ,$258.47 ,$246.18 
18-07-24,$249.23 ,110869000,$251.09 ,$257.14 ,$247.20 
